UF,Objetivo Estratégico,Descrição Indicador,Meta de 2025,Resultado de 2025,,Ano,Mes,Meta de 2024,Resultado de 2024,Meta de 2023,Resultado de 2023,Meta de 2022,Resultado de 2022,Meta de 2021,Resultado de 2021,Meta de 2020,Resultado de 2020,Meta de 2019,Resultado de 2019,Meta de 2018,Resultado de 2018,Meta de 2017,Resultado de 2017
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","90,81",,2025,Março,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Recorrência do Atendimento,"66,83","43,57",,2025,Março,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","8,00",,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura de clientes de grupos sub-representados,"55,50","90,71",,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"36,20","12,15",,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura do Atendimento a Estudantes,"8,95","0,10",,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"25,00","0,00",,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"21,50","0,00",,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","89,47",,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Recorrência do Atendimento,"66,83","47,31",,2025,Abril,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","22,58",,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura de clientes de grupos sub-representados,"55,50","90,71",,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"36,20","18,82",,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura do Atendimento a Estudantes,"8,95","0,14",,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"25,00","0,00",,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"21,50","0,00",,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","89,57",,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Recorrência do Atendimento,"66,83","48,86",,2025,Maio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","36,84",,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura de clientes de grupos sub-representados,"55,50","86,72",,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"36,20","23,95",,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura do Atendimento a Estudantes,"8,95","0,33",,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"25,00","77,27",,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"21,50","-33,38",,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","88,67",,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Recorrência do Atendimento,"66,83","61,51",,2025,Junho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","35,56",,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura de clientes de grupos sub-representados,"55,50","86,72",,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"36,20","27,60",,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura do Atendimento a Estudantes,"8,95","0,43",,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"25,00","77,27",,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"21,50","-33,38",,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","89,43",,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Recorrência do Atendimento,"66,83","63,05",,2025,Julho,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","35,56",,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura de clientes de grupos sub-representados,"55,50","86,72",,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"36,20","29,10",,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura do Atendimento a Estudantes,"8,95","0,43",,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"25,00","77,27",,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"21,50","-33,38",,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","89,43",,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Recorrência do Atendimento,"66,83","63,05",,2025,Agosto,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Setembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Setembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Setembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Setembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Setembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Setembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Setembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Setembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Recorrência do Atendimento,"0,00","0,00",,2025,Setembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Outubro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Outubro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Outubro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Outubro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Outubro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Outubro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Outubro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Outubro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Recorrência do Atendimento,"0,00","0,00",,2025,Outubro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Recorrência do Atendimento,"0,00","0,00",,2025,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),nan,nan,,2024,Novembro,"30,00","39,06",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Cobertura do Atendimento a Estudantes,nan,nan,,2024,Novembro,"10,07","10,91",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,nan,nan,,2024,Novembro,"8,00","0,00",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,nan,nan,,2024,Novembro,"16,50","22,50",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),nan,nan,,2024,Novembro,"85,00","85,80",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Recorrência do Atendimento,nan,nan,,2024,Novembro,"66,80","74,31",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Recursos Financeiros - Melhorar a eficiência na aplicação dos recursos,Recursos aplicados na atividade-fim,nan,nan,,2024,Novembro,"80,00","80,38",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,-,Volume de Garantias de Crédito,nan,nan,,2024,Novembro,"8,00","9,44",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,Clientes atendidos por meio de serviços digitais,nan,nan,,2023,Novembro,nan,nan,"14.700,00","18.522,00",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,nan,nan,,2023,Novembro,nan,nan,"90,00","100,00",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),nan,nan,,2023,Novembro,nan,nan,"30,00","34,91",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,nan,nan,,2023,Novembro,nan,nan,"5,40","0,00",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,"Pequenos Negócios atendidos (MEI, ME, EPP)",nan,nan,,2023,Novembro,nan,nan,"15.500,00","17.594,00",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Aumentar a participação dos Pequenos Negócios na Nova Economia,Pequenos Negócios atendidos com soluções de inovação,nan,nan,,2023,Novembro,nan,nan,"4.050,00","5.834,00",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,nan,nan,,2023,Novembro,nan,nan,"15,00","24,65",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Desenvolver o Empreendedor do Futuro,Professores atendidos em soluções de educação empreendedora,nan,nan,,2023,Novembro,nan,nan,"1.000,00","1.253,00",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),nan,nan,,2023,Novembro,nan,nan,"85,00","84,23",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Recursos Financeiros - Melhorar a eficiência na aplicação dos recursos,Recursos aplicados na atividade-fim,nan,nan,,2023,Novembro,nan,nan,"79,30","79,12",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Atuar em Rede para a Transformação do Ambiente de Negócios e Territórios,Tempo de Abertura de Empresas,nan,nan,,2023,Novembro,nan,nan,"24,00","14,53",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,Clientes atendidos por meio de serviços digitais,nan,nan,,2022,Novembro,nan,nan,nan,nan,"14.000,00","14.882,00",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,nan,nan,,2022,Novembro,nan,nan,nan,nan,"90,00","99,07",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),nan,nan,,2022,Novembro,nan,nan,nan,nan,"28,00","25,66",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,nan,nan,,2022,Novembro,nan,nan,nan,nan,"79,00","0,00",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,"Pequenos Negócios atendidos (MEI, ME, EPP)",nan,nan,,2022,Novembro,nan,nan,nan,nan,"12.800,00","13.912,00",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Aumentar a participação dos Pequenos Negócios na Nova Economia,Pequenos Negócios atendidos com soluções de inovação,nan,nan,,2022,Novembro,nan,nan,nan,nan,"2.000,00","2.584,00",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,nan,nan,,2022,Novembro,nan,nan,nan,nan,"15,00","30,31",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Desenvolver o Empreendedor do Futuro,Professores atendidos em soluções de educação empreendedora,nan,nan,,2022,Novembro,nan,nan,nan,nan,"1.000,00","1.135,00",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),nan,nan,,2022,Novembro,nan,nan,nan,nan,"85,00","86,33",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Recursos Financeiros - Melhorar a eficiência na aplicação dos recursos,Recursos aplicados na atividade-fim,nan,nan,,2022,Novembro,nan,nan,nan,nan,"78,30","83,35",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Atuar em Rede para a Transformação do Ambiente de Negócios e Territórios,Tempo de Abertura de Empresas,nan,nan,,2022,Novembro,nan,nan,nan,nan,"48,00","33,52",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AC,Ampliar a cobertura e efetividade do Atendimento,Clientes atendidos por meio de serviços digitais,nan,nan,,2021,Novembro,nan,nan,nan,nan,nan,nan,"10.000,00","15.957,00",nan,nan,nan,nan,nan,nan,nan,nan
