UF,Objetivo Estratégico,Descrição Indicador,Meta de 2025,Resultado de 2025,Unnamed: 5,Ano,Mes
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","35,56",,2025,Agosto
AC,-,Cobertura de clientes de grupos sub-representados,"55,50","86,72",,2025,Agosto
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"36,20","28,80",,2025,Agosto
AC,-,Cobertura do Atendimento a Estudantes,"8,95","0,43",,2025,Agosto
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Agosto
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"25,00","77,27",,2025,Agosto
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"21,50","-33,38",,2025,Agosto
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","89,43",,2025,Agosto
AC,-,Recorrência do Atendimento,"66,83","63,05",,2025,Agosto
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Setembro
AC,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Setembro
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Setembro
AC,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Setembro
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Setembro
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Setembro
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Setembro
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Setembro
AC,-,Recorrência do Atendimento,"0,00","0,00",,2025,Setembro
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Outubro
AC,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Outubro
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Outubro
AC,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Outubro
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Outubro
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Outubro
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Outubro
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Outubro
AC,-,Recorrência do Atendimento,"0,00","0,00",,2025,Outubro
AC,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Novembro
AC,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Novembro
AC,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Novembro
AC,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Novembro
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Novembro
AC,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Novembro
AC,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Novembro
AC,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Novembro
AC,-,Recorrência do Atendimento,"0,00","0,00",,2025,Novembro
AL,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","0,00",,2025,Janeiro
AL,-,Cobertura de clientes de grupos sub-representados,"60,00","0,00",,2025,Janeiro
AL,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"35,70","2,42",,2025,Janeiro
AL,-,Cobertura do Atendimento a Estudantes,"3,50","0,00",,2025,Janeiro
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"10,00","0,00",,2025,Janeiro
AL,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"20,00","0,00",,2025,Janeiro
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","0,00",,2025,Janeiro
AL,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","93,46",,2025,Janeiro
AL,-,Recorrência do Atendimento,"48,00","24,78",,2025,Janeiro
AL,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","18,18",,2025,Fevereiro
AL,-,Cobertura de clientes de grupos sub-representados,"60,00","0,00",,2025,Fevereiro
AL,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"35,70","7,26",,2025,Fevereiro
AL,-,Cobertura do Atendimento a Estudantes,"3,50","0,05",,2025,Fevereiro
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"10,00","0,00",,2025,Fevereiro
AL,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"20,00","0,00",,2025,Fevereiro
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","0,00",,2025,Fevereiro
AL,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","94,38",,2025,Fevereiro
AL,-,Recorrência do Atendimento,"48,00","28,45",,2025,Fevereiro
AL,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","9,09",,2025,Março
AL,-,Cobertura de clientes de grupos sub-representados,"60,00","85,81",,2025,Março
AL,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"35,70","8,37",,2025,Março
AL,-,Cobertura do Atendimento a Estudantes,"3,50","0,07",,2025,Março
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"10,00","0,00",,2025,Março
AL,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"20,00","0,00",,2025,Março
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","0,00",,2025,Março
AL,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","94,49",,2025,Março
AL,-,Recorrência do Atendimento,"48,00","34,55",,2025,Março
AL,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","9,09",,2025,Abril
AL,-,Cobertura de clientes de grupos sub-representados,"60,00","85,81",,2025,Abril
AL,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"35,70","10,01",,2025,Abril
AL,-,Cobertura do Atendimento a Estudantes,"3,50","0,07",,2025,Abril
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"10,00","0,00",,2025,Abril
AL,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"20,00","0,00",,2025,Abril
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","0,00",,2025,Abril
AL,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","94,65",,2025,Abril
AL,-,Recorrência do Atendimento,"48,00","48,44",,2025,Abril
AL,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","13,04",,2025,Maio
AL,-,Cobertura de clientes de grupos sub-representados,"60,00","85,81",,2025,Maio
AL,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"40,00","11,68",,2025,Maio
AL,-,Cobertura do Atendimento a Estudantes,"4,50","0,14",,2025,Maio
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Maio
AL,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"20,00","0,00",,2025,Maio
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"20,00","0,00",,2025,Maio
AL,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","94,19",,2025,Maio
AL,-,Recorrência do Atendimento,"48,00","50,90",,2025,Maio
AL,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","5,66",,2025,Junho
AL,-,Cobertura de clientes de grupos sub-representados,"60,00","80,41",,2025,Junho
AL,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"40,00","21,64",,2025,Junho
AL,-,Cobertura do Atendimento a Estudantes,"4,50","0,50",,2025,Junho
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Junho
AL,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"20,00","16,67",,2025,Junho
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"20,00","28,06",,2025,Junho
AL,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","93,60",,2025,Junho
AL,-,Recorrência do Atendimento,"48,00","41,42",,2025,Junho
AL,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","5,67",,2025,Julho
AL,-,Cobertura de clientes de grupos sub-representados,"60,00","80,41",,2025,Julho
AL,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"40,00","23,25",,2025,Julho
AL,-,Cobertura do Atendimento a Estudantes,"4,50","0,95",,2025,Julho
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Julho
AL,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"20,00","34,31",,2025,Julho
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"20,00","28,06",,2025,Julho
AL,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","93,71",,2025,Julho
AL,-,Recorrência do Atendimento,"48,00","44,37",,2025,Julho
AL,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"45,00","5,67",,2025,Agosto
AL,-,Cobertura de clientes de grupos sub-representados,"60,00","80,41",,2025,Agosto
AL,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"40,00","24,45",,2025,Agosto
AL,-,Cobertura do Atendimento a Estudantes,"4,50","0,95",,2025,Agosto
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Agosto
AL,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"20,00","34,31",,2025,Agosto
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"20,00","28,06",,2025,Agosto
AL,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","93,71",,2025,Agosto
AL,-,Recorrência do Atendimento,"48,00","44,37",,2025,Agosto
AL,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Setembro
AL,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Setembro
AL,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Setembro
AL,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Setembro
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Setembro
AL,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Setembro
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Setembro
AL,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Setembro
AL,-,Recorrência do Atendimento,"0,00","0,00",,2025,Setembro
AL,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Outubro
AL,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Outubro
AL,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Outubro
AL,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Outubro
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Outubro
AL,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Outubro
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Outubro
AL,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Outubro
AL,-,Recorrência do Atendimento,"0,00","0,00",,2025,Outubro
AL,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"0,00","0,00",,2025,Novembro
AL,-,Cobertura de clientes de grupos sub-representados,"0,00","0,00",,2025,Novembro
AL,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"0,00","0,00",,2025,Novembro
AL,-,Cobertura do Atendimento a Estudantes,"0,00","0,00",,2025,Novembro
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"0,00","0,00",,2025,Novembro
AL,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"0,00","0,00",,2025,Novembro
AL,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"0,00","0,00",,2025,Novembro
AL,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"0,00","0,00",,2025,Novembro
AL,-,Recorrência do Atendimento,"0,00","0,00",,2025,Novembro
AP,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"90,00","0,00",,2025,Janeiro
AP,-,Cobertura de clientes de grupos sub-representados,"57,00","0,00",,2025,Janeiro
AP,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"30,00","4,23",,2025,Janeiro
AP,-,Cobertura do Atendimento a Estudantes,"6,90","0,00",,2025,Janeiro
AP,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Janeiro
AP,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"37,50","0,00",,2025,Janeiro
AP,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","0,00",,2025,Janeiro
AP,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","82,86",,2025,Janeiro
AP,-,Recorrência do Atendimento,"65,05","31,67",,2025,Janeiro
AP,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"90,00","0,00",,2025,Fevereiro
AP,-,Cobertura de clientes de grupos sub-representados,"57,00","0,00",,2025,Fevereiro
AP,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"30,00","6,47",,2025,Fevereiro
AP,-,Cobertura do Atendimento a Estudantes,"6,90","0,07",,2025,Fevereiro
AP,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Fevereiro
AP,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"37,50","0,00",,2025,Fevereiro
AP,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","0,00",,2025,Fevereiro
AP,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","92,13",,2025,Fevereiro
AP,-,Recorrência do Atendimento,"65,05","39,61",,2025,Fevereiro
AP,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"90,00","0,00",,2025,Março
AP,-,Cobertura de clientes de grupos sub-representados,"57,00","99,97",,2025,Março
AP,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"30,00","9,09",,2025,Março
AP,-,Cobertura do Atendimento a Estudantes,"6,90","0,10",,2025,Março
AP,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Março
AP,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"37,50","62,50",,2025,Março
AP,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","0,00",,2025,Março
AP,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","91,67",,2025,Março
AP,-,Recorrência do Atendimento,"65,05","42,73",,2025,Março
AP,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"90,00","0,00",,2025,Abril
AP,-,Cobertura de clientes de grupos sub-representados,"57,00","99,97",,2025,Abril
AP,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"30,00","10,67",,2025,Abril
AP,-,Cobertura do Atendimento a Estudantes,"6,90","0,10",,2025,Abril
AP,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Abril
AP,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"37,50","62,50",,2025,Abril
AP,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","0,00",,2025,Abril
AP,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","90,82",,2025,Abril
AP,-,Recorrência do Atendimento,"65,05","44,31",,2025,Abril
AP,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"90,00","0,00",,2025,Maio
AP,-,Cobertura de clientes de grupos sub-representados,"57,00","99,97",,2025,Maio
AP,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"30,00","13,24",,2025,Maio
AP,-,Cobertura do Atendimento a Estudantes,"6,90","0,15",,2025,Maio
AP,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Maio
AP,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"37,50","62,50",,2025,Maio
AP,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","0,00",,2025,Maio
AP,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","88,52",,2025,Maio
AP,-,Recorrência do Atendimento,"65,05","47,37",,2025,Maio
AP,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"90,00","16,67",,2025,Junho
AP,-,Cobertura de clientes de grupos sub-representados,"57,00","92,02",,2025,Junho
AP,Ampliar a cobertura e efetividade do Atendimento,Cobertura do Atendimento (ME+EPP),"30,00","16,04",,2025,Junho
AP,-,Cobertura do Atendimento a Estudantes,"6,90","0,17",,2025,Junho
AP,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Faturamento,"12,00","0,00",,2025,Junho
AP,-,Municípios Reconhecidos pela efetividade da sua agenda de empreendedorismo e inovação,"37,50","62,50",,2025,Junho
AP,Elevar a Competitividade e Produtividade dos Pequenos Negócios,Produtividade,"18,00","46,69",,2025,Junho
AP,"Promover um relacionamento acessível, integrado, resolutivo, ágil e transformador",Recomendação do Sebrae (NPS),"85,00","88,91",,2025,Junho
AP,-,Recorrência do Atendimento,"65,05","47,53",,2025,Junho
AP,Elevar a competitividade e produtividade dos Pequenos Negócios,Clientes com garantia do FAMPE assistidos na fase pós-crédito,"90,00","16,67",,2025,Julho
AP,-,Cobertura de clientes de grupos sub-representados,"57,00","92,02",,2025,Julho
