Nome Sebrae,Descrição Tipo Iniciativa,Descrição Tipologia Iniciativa,Número Iniciativa,Nome Iniciativa,Nome Unidade Organizacional,Total de Despesa Orçado - Ajustado em 2025,Total do Valor de Despesa Executado em 2025,Total de Atendimentos em 2025,Clientes Atendidos em 2025,Unnamed: 10,Ano,Mes
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC025492ATAS,AC - PROCESSO ESTRATÉGICO ATENDIMENTO ESPONTÂNEO AGRONEGÓCIO DO BAIXO E ALTO ACRE/PURUS,AC - Escritório Regional do Baixo Acre e PURUS,"530.232,00","2.922,50",234.0,104.0,,2025,Fevereiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012964ATAS,AC - Processo Estratégico Atendimento Espontâneo do Alto Acre,AC - Escritório Regional Alto Acre,"500.000,00","11.372,95",466.0,371.0,,2025,Fevereiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012966ATAS,AC - Processo Estratégico Atendimento Espontâneo do Baixo Acre,AC - Escritório Regional do Baixo Acre e PURUS,"3.700.000,00","150.641,83",2.851,2.285,,2025,Fevereiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012971ATAS,AC - Processo Estratégico Atendimento Espontâneo do Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"900.000,00","34.410,60",957.0,733.0,,2025,Fevereiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC024755ATAS,AC - Processo Estratégico Espontâneo da Indústria do Baixo e Alto Acre/Purus,AC - Escritório Regional do Baixo Acre e PURUS,"569.768,00","29.700,00",9.0,9.0,,2025,Fevereiro
SEBRAE/AC,Atividade,Gestão Operacional,AC022562ATGO,AC - Processo Nacional de Gestão da Marca,AC - Assessoria de Comunicação,"350.000,00","0,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Atividade,Gestão Operacional,AC022735ATGO,AC - Processo Nacional de Integridade - Compliance,"AC - Assessoria de Controle, Processos e Compliance","307.528,00","0,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC023953ATAS,AC - Processo Plural Alto Acre,AC - Escritório Regional Alto Acre,"62.415,00","0,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC013357PJAS,AC - Projeto Agronegócios Baixo e Alto Acre/Purus,AC - Escritório Regional do Baixo Acre e PURUS,"2.510.762,00","247.742,15",1.253,284.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025106PJAS,AC - Projeto Autogestão centros automotivos,AC - Escritório Regional do Baixo Acre e PURUS,"349.000,00","0,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC024008PJAS,AC - Projeto Conecta,AC - Escritório Regional do Baixo Acre e PURUS,"1.743.000,00","0,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025080PJAS,AC - Projeto de Atendimento - Panificação,AC - Escritório Regional do Baixo Acre e PURUS,"394.100,00","0,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC012983PJAS,AC - Projeto Estratégico Agronegócio do Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"1.463.700,00","120.660,00",404.0,269.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025656PJAS,AC - Projeto Estratégico Artesanato Acreano,AC - Escritório Regional do Baixo Acre e PURUS,"207.000,00","8.307,86",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC024859PJAS,AC - Projeto Estratégico Internacionalização,AC - Escritório Regional do Baixo Acre e PURUS,"514.947,00","53.022,50",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC012973PJAS,AC - Projeto Estratégico Relacionamento - 500,AC - Diretoria Técnica (Unidade),"203.000,00","0,00",0.0,0.0,,2025,Fevereiro
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC012974PJAS,AC - ALI Produtividade - Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"205.000,00","40.957,00",46.0,39.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC013010PJAS,AC - ALI Produtividade Baixo Acre,AC - Escritório Regional do Baixo Acre e PURUS,"400.000,00","74.785,10",85.0,83.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC013599PJAS,AC - ALI Rural Baixo Acre,AC - Escritório Regional do Baixo Acre e PURUS,"96.643,00","352,50",4.0,4.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC016816PJAS,AC - ALI Rural do Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"49.000,00","0,00",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Articulação Institucional,AC025689PJAI,AC - CIDADE EMPREENDEDORA,AC - Desenvolvimento do Ambiente de Negócios,"1.079.600,00","203.106,54",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Gestão Operacional,AC013675PJGO,AC - ConectaTech,AC - Tecnologia da Informação,"2.592.141,00","350.167,98",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025441PJAS,AC - Conexão Financeira - Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"149.600,00","0,00",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025440PJAS,AC - Conexão Financeira Alto Acre,AC - Escritório Regional Alto Acre,"131.800,00","2.180,57",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025443PJAS,AC - Conexão Financeira Baixo Acre e Purus,AC - Escritório Regional do Baixo Acre e PURUS,"151.246,00","10.964,94",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025205PJAS,AC - Conexões corporativas EP rede de supermercados,AC - Diretoria Técnica (Unidade),"201.940,00","0,00",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025508PJAS,AC - Geração de Negócios Inovadores,AC - Escritório Regional do Baixo Acre e PURUS,"573.200,00","7.317,22",0.0,0.0,,2025,Março
SEBRAE/AC,Atividade,Gestão Operacional,AC022353ATGO,AC - Gestão da Proteção de Dados Pessoais para Adequação à LGPD,AC - Tecnologia da Informação,"132.000,00","15.200,00",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Articulação Institucional,AC024860PJAI,AC - Governança Empreendedora,AC - Desenvolvimento do Ambiente de Negócios,"336.906,00","0,00",0.0,0.0,,2025,Março
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC024754ATAS,AC - Implantação da Rede Estendida Sebrae,AC - Diretoria Técnica (Unidade),"67.000,00","0,00",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Gestão Operacional,AC023908PJGO,AC - Impulsionador da Inteligência de Dados (IT Score CDAO),AC - Excelência da Gestão,"640.000,00","4.675,20",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025856PJAS,AC - Indicações Geograficas,AC - Escritório Regional do Juruá e Taraucá-Envira,"174.940,00","14.367,33",0.0,0.0,,2025,Março
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012967ATAS,AC - Processo Estratégico Atendimento e Relacionamento,AC - Atendimento e Relacionamento,"475.449,00","64.758,61",129.0,109.0,,2025,Março
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC025492ATAS,AC - PROCESSO ESTRATÉGICO ATENDIMENTO ESPONTÂNEO AGRONEGÓCIO DO BAIXO E ALTO ACRE/PURUS,AC - Escritório Regional do Baixo Acre e PURUS,"530.232,00","27.563,60",297.0,143.0,,2025,Março
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012964ATAS,AC - Processo Estratégico Atendimento Espontâneo do Alto Acre,AC - Escritório Regional Alto Acre,"500.000,00","26.921,14",691.0,514.0,,2025,Março
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012966ATAS,AC - Processo Estratégico Atendimento Espontâneo do Baixo Acre,AC - Escritório Regional do Baixo Acre e PURUS,"3.700.000,00","348.380,85",3.953,3.019,,2025,Março
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012971ATAS,AC - Processo Estratégico Atendimento Espontâneo do Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"900.000,00","57.804,78",1.479,1.051,,2025,Março
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC024755ATAS,AC - Processo Estratégico Espontâneo da Indústria do Baixo e Alto Acre/Purus,AC - Escritório Regional do Baixo Acre e PURUS,"682.768,00","77.320,01",9.0,9.0,,2025,Março
SEBRAE/AC,Atividade,Gestão Operacional,AC022562ATGO,AC - Processo Nacional de Gestão da Marca,AC - Assessoria de Comunicação,"350.000,00","0,00",0.0,0.0,,2025,Março
SEBRAE/AC,Atividade,Gestão Operacional,AC022735ATGO,AC - Processo Nacional de Integridade - Compliance,"AC - Assessoria de Controle, Processos e Compliance","307.528,00","20.952,75",0.0,0.0,,2025,Março
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC023953ATAS,AC - Processo Plural Alto Acre,AC - Escritório Regional Alto Acre,"62.415,00","13.046,23",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC013357PJAS,AC - Projeto Agronegócios Baixo e Alto Acre/Purus,AC - Escritório Regional do Baixo Acre e PURUS,"2.510.762,00","372.578,74",1.622,330.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025106PJAS,AC - Projeto Autogestão centros automotivos,AC - Escritório Regional do Baixo Acre e PURUS,"349.000,00","0,00",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC024008PJAS,AC - Projeto Conecta,AC - Escritório Regional do Baixo Acre e PURUS,"1.743.000,00","10.690,44",179.0,179.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025080PJAS,AC - Projeto de Atendimento - Panificação,AC - Escritório Regional do Baixo Acre e PURUS,"394.100,00","0,00",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC012983PJAS,AC - Projeto Estratégico Agronegócio do Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"1.463.700,00","184.407,06",518.0,339.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025656PJAS,AC - Projeto Estratégico Artesanato Acreano,AC - Escritório Regional do Baixo Acre e PURUS,"207.000,00","14.506,13",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC024859PJAS,AC - Projeto Estratégico Internacionalização,AC - Escritório Regional do Baixo Acre e PURUS,"514.947,00","83.681,81",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC012973PJAS,AC - Projeto Estratégico Relacionamento - 500,AC - Diretoria Técnica (Unidade),"0,00","0,00",0.0,0.0,,2025,Março
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC012974PJAS,AC - ALI Produtividade - Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"205.000,00","63.408,19",50.0,40.0,,2025,Abril
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC013010PJAS,AC - ALI Produtividade Baixo Acre,AC - Escritório Regional do Baixo Acre e PURUS,"400.000,00","104.595,60",151.0,87.0,,2025,Abril
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC013599PJAS,AC - ALI Rural Baixo Acre,AC - Escritório Regional do Baixo Acre e PURUS,"96.643,00","352,50",4.0,4.0,,2025,Abril
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC016816PJAS,AC - ALI Rural do Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"49.000,00","0,00",0.0,0.0,,2025,Abril
SEBRAE/AC,Projeto,Articulação Institucional,AC025689PJAI,AC - CIDADE EMPREENDEDORA,AC - Desenvolvimento do Ambiente de Negócios,"1.079.600,00","221.795,18",0.0,0.0,,2025,Abril
SEBRAE/AC,Projeto,Gestão Operacional,AC013675PJGO,AC - ConectaTech,AC - Tecnologia da Informação,"2.592.141,00","442.346,64",0.0,0.0,,2025,Abril
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025441PJAS,AC - Conexão Financeira - Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"149.600,00","5.600,00",0.0,0.0,,2025,Abril
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025440PJAS,AC - Conexão Financeira Alto Acre,AC - Escritório Regional Alto Acre,"131.800,00","8.018,07",18.0,18.0,,2025,Abril
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025443PJAS,AC - Conexão Financeira Baixo Acre e Purus,AC - Escritório Regional do Baixo Acre e PURUS,"151.246,00","14.164,94",2.0,2.0,,2025,Abril
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025205PJAS,AC - Conexões corporativas EP rede de supermercados,AC - Diretoria Técnica (Unidade),"201.940,00","17.922,58",0.0,0.0,,2025,Abril
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025508PJAS,AC - Geração de Negócios Inovadores,AC - Escritório Regional do Baixo Acre e PURUS,"573.200,00","12.861,91",0.0,0.0,,2025,Abril
SEBRAE/AC,Atividade,Gestão Operacional,AC022353ATGO,AC - Gestão da Proteção de Dados Pessoais para Adequação à LGPD,AC - Tecnologia da Informação,"132.000,00","22.520,00",0.0,0.0,,2025,Abril
SEBRAE/AC,Projeto,Articulação Institucional,AC024860PJAI,AC - Governança Empreendedora,AC - Desenvolvimento do Ambiente de Negócios,"336.906,00","0,00",0.0,0.0,,2025,Abril
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC024754ATAS,AC - Implantação da Rede Estendida Sebrae,AC - Diretoria Técnica (Unidade),"67.000,00","0,00",0.0,0.0,,2025,Abril
SEBRAE/AC,Projeto,Gestão Operacional,AC023908PJGO,AC - Impulsionador da Inteligência de Dados (IT Score CDAO),AC - Excelência da Gestão,"640.000,00","4.675,20",0.0,0.0,,2025,Abril
SEBRAE/AC,Projeto,Atendimento direto pelo Sebrae,AC025856PJAS,AC - Indicações Geograficas,AC - Escritório Regional do Juruá e Taraucá-Envira,"174.940,00","30.944,64",0.0,0.0,,2025,Abril
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012967ATAS,AC - Processo Estratégico Atendimento e Relacionamento,AC - Atendimento e Relacionamento,"475.449,00","105.838,42",149.0,120.0,,2025,Abril
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC025492ATAS,AC - PROCESSO ESTRATÉGICO ATENDIMENTO ESPONTÂNEO AGRONEGÓCIO DO BAIXO E ALTO ACRE/PURUS,AC - Escritório Regional do Baixo Acre e PURUS,"530.232,00","162.562,09",357.0,176.0,,2025,Abril
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012964ATAS,AC - Processo Estratégico Atendimento Espontâneo do Alto Acre,AC - Escritório Regional Alto Acre,"500.000,00","43.586,74",754.0,551.0,,2025,Abril
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012966ATAS,AC - Processo Estratégico Atendimento Espontâneo do Baixo Acre,AC - Escritório Regional do Baixo Acre e PURUS,"3.700.000,00","610.407,93",4.733,3.549,,2025,Abril
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC012971ATAS,AC - Processo Estratégico Atendimento Espontâneo do Juruá,AC - Escritório Regional do Juruá e Taraucá-Envira,"900.000,00","232.277,41",1.767,1.163,,2025,Abril
SEBRAE/AC,Atividade,Atendimento direto pelo Sebrae,AC024755ATAS,AC - Processo Estratégico Espontâneo da Indústria do Baixo e Alto Acre/Purus,AC - Escritório Regional do Baixo Acre e PURUS,"682.768,00","120.145,01",13.0,13.0,,2025,Abril
